Date,Time,Steps
2025.11.10 00:01:00,00:01:00,14
2025.11.10 00:05:00,00:05:00,23
2025.11.10 00:06:00,00:06:00,7
2025.11.10 00:07:00,00:07:00,40
2025.11.10 00:08:00,00:08:00,6
2025.11.10 01:10:00,01:10:00,8
2025.11.10 01:11:00,01:11:00,26
2025.11.10 01:12:00,01:12:00,33
2025.11.10 01:13:00,01:13:00,9
2025.11.10 01:14:00,01:14:00,58
2025.11.10 01:15:00,01:15:00,12
2025.11.10 01:18:00,01:18:00,7
2025.11.10 03:48:00,03:48:00,36
2025.11.10 04:18:00,04:18:00,53
2025.11.10 04:19:00,04:19:00,22
2025.11.10 07:07:00,07:07:00,11
2025.11.10 07:47:00,07:47:00,12
2025.11.10 09:25:00,09:25:00,15
2025.11.10 09:26:00,09:26:00,16
2025.11.10 09:27:00,09:27:00,34
2025.11.10 09:28:00,09:28:00,36
2025.11.10 09:33:00,09:33:00,13
2025.11.10 09:34:00,09:34:00,16
2025.11.10 09:44:00,09:44:00,43
2025.11.10 09:47:00,09:47:00,27
2025.11.10 09:48:00,09:48:00,33
2025.11.10 09:49:00,09:49:00,14
2025.11.10 09:55:00,09:55:00,16
2025.11.10 09:57:00,09:57:00,10
2025.11.10 09:59:00,09:59:00,11
2025.11.10 10:00:00,10:00:00,68
2025.11.10 10:01:00,10:01:00,11
2025.11.10 10:02:00,10:02:00,24
2025.11.10 10:05:00,10:05:00,16
2025.11.10 10:06:00,10:06:00,21
2025.11.10 11:09:00,11:09:00,86
2025.11.10 11:10:00,11:10:00,93
2025.11.10 11:11:00,11:11:00,13
2025.11.10 11:12:00,11:12:00,69
2025.11.10 11:13:00,11:13:00,60
2025.11.10 11:14:00,11:14:00,39
2025.11.10 11:15:00,11:15:00,20
2025.11.10 11:16:00,11:16:00,42
2025.11.10 11:17:00,11:17:00,45
2025.11.10 11:18:00,11:18:00,20
2025.11.10 11:19:00,11:19:00,23
2025.11.10 11:20:00,11:20:00,18
2025.11.10 11:22:00,11:22:00,40
2025.11.10 11:23:00,11:23:00,18
2025.11.10 11:24:00,11:24:00,94
2025.11.10 11:25:00,11:25:00,80
2025.11.10 11:27:00,11:27:00,64
2025.11.10 11:28:00,11:28:00,4
2025.11.10 11:29:00,11:29:00,27
2025.11.10 11:30:00,11:30:00,24
2025.11.10 11:31:00,11:31:00,20
2025.11.10 11:32:00,11:32:00,14
2025.11.10 11:34:00,11:34:00,50
2025.11.10 11:35:00,11:35:00,2
2025.11.10 12:15:00,12:15:00,50
2025.11.10 12:16:00,12:16:00,99
2025.11.10 12:17:00,12:17:00,102
2025.11.10 12:18:00,12:18:00,100
2025.11.10 12:19:00,12:19:00,99
2025.11.10 12:20:00,12:20:00,99
2025.11.10 12:21:00,12:21:00,35
2025.11.10 13:12:00,13:12:00,77
2025.11.10 13:13:00,13:13:00,98
2025.11.10 13:14:00,13:14:00,98
2025.11.10 13:15:00,13:15:00,100
2025.11.10 13:16:00,13:16:00,47
2025.11.10 13:17:00,13:17:00,69
2025.11.10 13:18:00,13:18:00,22
2025.11.10 13:19:00,13:19:00,69
2025.11.10 13:20:00,13:20:00,34
2025.11.10 13:28:00,13:28:00,12
2025.11.10 13:30:00,13:30:00,12
2025.11.10 14:06:00,14:06:00,8
2025.11.10 14:20:00,14:20:00,17
2025.11.10 14:22:00,14:22:00,7
2025.11.10 14:23:00,14:23:00,11
2025.11.10 14:24:00,14:24:00,96
2025.11.10 14:25:00,14:25:00,92
2025.11.10 14:26:00,14:26:00,91
2025.11.10 14:27:00,14:27:00,97
2025.11.10 14:28:00,14:28:00,93
2025.11.10 14:29:00,14:29:00,94
2025.11.10 14:30:00,14:30:00,99
2025.11.10 14:31:00,14:31:00,96
2025.11.10 14:32:00,14:32:00,42
2025.11.10 15:14:00,15:14:00,16
2025.11.10 15:15:00,15:15:00,83
2025.11.10 15:16:00,15:16:00,100
2025.11.10 15:17:00,15:17:00,98
2025.11.10 15:18:00,15:18:00,100
2025.11.10 15:19:00,15:19:00,92
2025.11.10 15:20:00,15:20:00,39
2025.11.10 15:21:00,15:21:00,73
2025.11.10 15:22:00,15:22:00,68
2025.11.10 15:24:00,15:24:00,12
2025.11.10 15:25:00,15:25:00,17
2025.11.10 15:30:00,15:30:00,39
2025.11.10 15:31:00,15:31:00,11
2025.11.10 15:32:00,15:32:00,11
2025.11.10 15:44:00,15:44:00,15
2025.11.10 16:55:00,16:55:00,22
2025.11.10 16:56:00,16:56:00,7
2025.11.10 16:57:00,16:57:00,22
2025.11.10 16:58:00,16:58:00,100
2025.11.10 16:59:00,16:59:00,90
2025.11.10 17:00:00,17:00:00,94
2025.11.10 17:01:00,17:01:00,98
2025.11.10 17:02:00,17:02:00,91
2025.11.10 17:03:00,17:03:00,97
2025.11.10 17:04:00,17:04:00,32
2025.11.10 17:19:00,17:19:00,11
2025.11.10 17:26:00,17:26:00,13
2025.11.10 17:28:00,17:28:00,59
2025.11.10 17:29:00,17:29:00,47
2025.11.10 17:30:00,17:30:00,63
2025.11.10 17:31:00,17:31:00,14
2025.11.10 17:56:00,17:56:00,13
2025.11.10 18:29:00,18:29:00,66
2025.11.10 18:30:00,18:30:00,39
2025.11.10 18:31:00,18:31:00,16
2025.11.10 18:32:00,18:32:00,56
2025.11.10 18:33:00,18:33:00,26
2025.11.10 18:34:00,18:34:00,34
2025.11.10 18:35:00,18:35:00,13
2025.11.10 18:36:00,18:36:00,13
2025.11.10 18:37:00,18:37:00,16
2025.11.10 18:38:00,18:38:00,12
2025.11.10 18:39:00,18:39:00,20
2025.11.10 18:40:00,18:40:00,42
2025.11.10 18:41:00,18:41:00,37
2025.11.10 18:42:00,18:42:00,22
2025.11.10 18:43:00,18:43:00,45
2025.11.10 18:45:00,18:45:00,10
2025.11.10 18:50:00,18:50:00,64
2025.11.10 18:52:00,18:52:00,84
2025.11.10 18:53:00,18:53:00,25
2025.11.10 18:54:00,18:54:00,17
2025.11.10 18:56:00,18:56:00,15
2025.11.10 19:01:00,19:01:00,29
2025.11.10 19:02:00,19:02:00,22
2025.11.10 19:03:00,19:03:00,43
2025.11.10 19:04:00,19:04:00,32
2025.11.10 19:05:00,19:05:00,56
2025.11.10 19:12:00,19:12:00,19
2025.11.10 19:13:00,19:13:00,81
2025.11.10 19:14:00,19:14:00,39
2025.11.10 19:15:00,19:15:00,34
2025.11.10 19:17:00,19:17:00,28
2025.11.10 19:19:00,19:19:00,19
2025.11.10 19:35:00,19:35:00,24
2025.11.10 19:36:00,19:36:00,23
2025.11.10 19:37:00,19:37:00,71
2025.11.10 19:38:00,19:38:00,55
2025.11.10 19:39:00,19:39:00,59
2025.11.10 19:40:00,19:40:00,30
2025.11.10 19:41:00,19:41:00,29
2025.11.10 19:42:00,19:42:00,26
2025.11.10 19:43:00,19:43:00,26
2025.11.10 19:44:00,19:44:00,23
2025.11.10 19:45:00,19:45:00,23
2025.11.10 19:46:00,19:46:00,6
2025.11.10 19:48:00,19:48:00,6
2025.11.10 20:11:00,20:11:00,6
2025.11.10 20:30:00,20:30:00,14
2025.11.10 20:34:00,20:34:00,13
2025.11.10 20:36:00,20:36:00,69
2025.11.10 20:37:00,20:37:00,56
2025.11.10 20:38:00,20:38:00,2
2025.11.10 21:04:00,21:04:00,19
2025.11.10 21:05:00,21:05:00,23
2025.11.10 21:06:00,21:06:00,12
2025.11.11 00:06:00,00:06:00,42
2025.11.11 00:08:00,00:08:00,7
2025.11.11 00:09:00,00:09:00,22
2025.11.11 00:12:00,00:12:00,21
2025.11.11 00:13:00,00:13:00,45
2025.11.11 00:24:00,00:24:00,11
2025.11.11 00:25:00,00:25:00,20
2025.11.11 00:26:00,00:26:00,31
2025.11.11 00:28:00,00:28:00,15
2025.11.11 00:29:00,00:29:00,24
2025.11.11 04:09:00,04:09:00,46
2025.11.11 04:10:00,04:10:00,56
2025.11.11 04:11:00,04:11:00,23
2025.11.11 04:31:00,04:31:00,17
2025.11.11 04:33:00,04:33:00,11
2025.11.11 07:53:00,07:53:00,10
2025.11.11 10:10:00,10:10:00,10
2025.11.11 10:11:00,10:11:00,74
2025.11.11 10:12:00,10:12:00,58
2025.11.11 10:13:00,10:13:00,30
2025.11.11 10:14:00,10:14:00,31
2025.11.11 10:16:00,10:16:00,27
2025.11.11 10:17:00,10:17:00,14
2025.11.11 10:19:00,10:19:00,49
2025.11.11 10:58:00,10:58:00,56
2025.11.11 11:45:00,11:45:00,20
2025.11.11 11:46:00,11:46:00,58
2025.11.11 11:52:00,11:52:00,33
2025.11.11 11:53:00,11:53:00,37
2025.11.11 11:54:00,11:54:00,18
2025.11.11 12:07:00,12:07:00,11
2025.11.11 12:11:00,12:11:00,20
2025.11.11 12:12:00,12:12:00,57
2025.11.11 12:13:00,12:13:00,20
2025.11.11 12:14:00,12:14:00,54
2025.11.11 12:15:00,12:15:00,22
2025.11.11 12:16:00,12:16:00,11
2025.11.11 12:17:00,12:17:00,28
2025.11.11 12:18:00,12:18:00,97
2025.11.11 12:19:00,12:19:00,32
2025.11.11 12:20:00,12:20:00,15
2025.11.11 12:21:00,12:21:00,53
2025.11.11 12:22:00,12:22:00,39
2025.11.11 12:23:00,12:23:00,31
2025.11.11 12:24:00,12:24:00,32
2025.11.11 12:37:00,12:37:00,16
2025.11.11 12:38:00,12:38:00,43
2025.11.11 12:39:00,12:39:00,4
2025.11.11 12:40:00,12:40:00,11
2025.11.11 12:41:00,12:41:00,22
2025.11.11 12:42:00,12:42:00,27
2025.11.11 12:43:00,12:43:00,40
2025.11.11 12:44:00,12:44:00,11
2025.11.11 12:45:00,12:45:00,43
2025.11.11 12:55:00,12:55:00,25
2025.11.11 12:56:00,12:56:00,72
2025.11.11 12:57:00,12:57:00,47
2025.11.11 12:58:00,12:58:00,65
2025.11.11 12:59:00,12:59:00,32
2025.11.11 13:00:00,13:00:00,24
2025.11.11 13:01:00,13:01:00,39
2025.11.11 13:02:00,13:02:00,18
2025.11.11 13:03:00,13:03:00,45
2025.11.11 13:04:00,13:04:00,81
2025.11.11 13:05:00,13:05:00,16
2025.11.11 13:49:00,13:49:00,36
2025.11.11 13:50:00,13:50:00,17
2025.11.11 14:15:00,14:15:00,14
2025.11.11 14:16:00,14:16:00,37
2025.11.11 14:26:00,14:26:00,15
2025.11.11 14:27:00,14:27:00,15
2025.11.11 15:56:00,15:56:00,10
2025.11.11 15:57:00,15:57:00,14
2025.11.11 16:27:00,16:27:00,51
2025.11.11 16:28:00,16:28:00,39
2025.11.11 16:29:00,16:29:00,85
2025.11.11 16:30:00,16:30:00,49
2025.11.11 16:37:00,16:37:00,6
2025.11.11 16:49:00,16:49:00,14
2025.11.11 16:50:00,16:50:00,32
2025.11.11 16:51:00,16:51:00,11
2025.11.11 16:52:00,16:52:00,10
2025.11.11 16:54:00,16:54:00,22
2025.11.11 16:59:00,16:59:00,26
2025.11.11 17:11:00,17:11:00,28
2025.11.11 17:12:00,17:12:00,3
2025.11.11 17:36:00,17:36:00,29
2025.11.11 17:37:00,17:37:00,27
2025.11.11 17:38:00,17:38:00,43
2025.11.11 17:39:00,17:39:00,46
2025.11.11 18:16:00,18:16:00,25
2025.11.11 18:19:00,18:19:00,21
2025.11.11 18:20:00,18:20:00,36
2025.11.11 18:27:00,18:27:00,54
2025.11.11 18:28:00,18:28:00,19
2025.11.11 18:43:00,18:43:00,26
2025.11.11 18:44:00,18:44:00,43
2025.11.11 18:45:00,18:45:00,53
2025.11.11 18:46:00,18:46:00,78
2025.11.11 18:47:00,18:47:00,29
2025.11.11 18:48:00,18:48:00,30
2025.11.11 18:49:00,18:49:00,32
2025.11.11 18:50:00,18:50:00,62
2025.11.11 18:51:00,18:51:00,58
2025.11.11 18:52:00,18:52:00,77
2025.11.11 19:12:00,19:12:00,13
2025.11.11 19:13:00,19:13:00,14
2025.11.11 19:14:00,19:14:00,19
2025.11.11 19:15:00,19:15:00,24
2025.11.11 19:16:00,19:16:00,31
2025.11.11 19:17:00,19:17:00,31
2025.11.11 19:18:00,19:18:00,40
2025.11.11 19:19:00,19:19:00,23
2025.11.11 19:20:00,19:20:00,11
2025.11.11 19:21:00,19:21:00,17
2025.11.11 19:22:00,19:22:00,18
2025.11.11 19:23:00,19:23:00,26
2025.11.11 19:24:00,19:24:00,10
2025.11.11 19:25:00,19:25:00,32
2025.11.11 19:30:00,19:30:00,20
2025.11.11 19:31:00,19:31:00,22
2025.11.11 19:32:00,19:32:00,24
2025.11.11 19:34:00,19:34:00,43
2025.11.11 19:47:00,19:47:00,27
2025.11.11 19:48:00,19:48:00,14
2025.11.11 19:49:00,19:49:00,26
2025.11.11 19:50:00,19:50:00,8
2025.11.11 22:37:00,22:37:00,55
2025.11.11 22:38:00,22:38:00,21
2025.11.11 22:45:00,22:45:00,22
2025.11.11 22:48:00,22:48:00,12
2025.11.11 22:49:00,22:49:00,18
2025.11.11 22:54:00,22:54:00,16
2025.11.11 23:41:00,23:41:00,10
2025.11.11 23:47:00,23:47:00,17
2025.11.11 23:51:00,23:51:00,23
2025.11.11 23:52:00,23:52:00,6
2025.11.12 06:39:00,06:39:00,13
2025.11.12 06:40:00,06:40:00,14
2025.11.12 06:44:00,06:44:00,11
2025.11.12 06:46:00,06:46:00,12
2025.11.12 06:47:00,06:47:00,72
2025.11.12 06:48:00,06:48:00,60
2025.11.12 06:49:00,06:49:00,39
2025.11.12 06:50:00,06:50:00,36
2025.11.12 06:51:00,06:51:00,32
2025.11.12 06:52:00,06:52:00,71
2025.11.12 06:53:00,06:53:00,22
2025.11.12 06:54:00,06:54:00,10
2025.11.12 06:59:00,06:59:00,17
2025.11.12 08:00:00,08:00:00,25
2025.11.12 08:04:00,08:04:00,14
2025.11.12 08:30:00,08:30:00,15
2025.11.12 08:31:00,08:31:00,27
2025.11.12 08:34:00,08:34:00,64
2025.11.12 08:35:00,08:35:00,67
2025.11.12 08:36:00,08:36:00,32
2025.11.12 08:54:00,08:54:00,55
2025.11.12 08:55:00,08:55:00,99
2025.11.12 08:56:00,08:56:00,98
2025.11.12 08:57:00,08:57:00,97
2025.11.12 08:58:00,08:58:00,97
2025.11.12 08:59:00,08:59:00,88
2025.11.12 09:04:00,09:04:00,14
2025.11.12 09:05:00,09:05:00,10
2025.11.12 09:08:00,09:08:00,11
2025.11.12 09:09:00,09:09:00,18
2025.11.12 09:15:00,09:15:00,8
2025.11.12 09:22:00,09:22:00,7
2025.11.12 09:23:00,09:23:00,11
2025.11.12 09:25:00,09:25:00,8
2025.11.12 09:30:00,09:30:00,20
2025.11.12 09:33:00,09:33:00,10
2025.11.12 09:35:00,09:35:00,15
2025.11.12 09:36:00,09:36:00,11
2025.11.12 09:38:00,09:38:00,12
2025.11.12 09:43:00,09:43:00,16
2025.11.12 09:44:00,09:44:00,100
2025.11.12 09:45:00,09:45:00,100
2025.11.12 09:46:00,09:46:00,98
2025.11.12 09:47:00,09:47:00,96
2025.11.12 09:48:00,09:48:00,98
2025.11.12 09:49:00,09:49:00,52
2025.11.12 10:44:00,10:44:00,43
2025.11.12 10:45:00,10:45:00,91
2025.11.12 10:46:00,10:46:00,35
2025.11.12 10:47:00,10:47:00,43
2025.11.12 10:48:00,10:48:00,35
2025.11.12 10:49:00,10:49:00,30
2025.11.12 10:50:00,10:50:00,43
2025.11.12 10:53:00,10:53:00,89
2025.11.12 10:54:00,10:54:00,58
2025.11.12 10:55:00,10:55:00,53
2025.11.12 10:56:00,10:56:00,42
2025.11.12 10:57:00,10:57:00,64
2025.11.12 10:58:00,10:58:00,16
2025.11.12 10:59:00,10:59:00,25
2025.11.12 11:00:00,11:00:00,18
2025.11.12 11:01:00,11:01:00,27
2025.11.12 11:02:00,11:02:00,98
2025.11.12 11:03:00,11:03:00,23
2025.11.12 11:20:00,11:20:00,49
2025.11.12 11:21:00,11:21:00,94
2025.11.12 11:22:00,11:22:00,98
2025.11.12 11:23:00,11:23:00,95
2025.11.12 11:24:00,11:24:00,97
2025.11.12 11:25:00,11:25:00,96
2025.11.12 11:26:00,11:26:00,87
2025.11.12 11:27:00,11:27:00,61
2025.11.12 11:44:00,11:44:00,74
2025.11.12 11:45:00,11:45:00,80
2025.11.12 11:46:00,11:46:00,11
2025.11.12 13:08:00,13:08:00,11
2025.11.12 13:09:00,13:09:00,7
2025.11.12 13:10:00,13:10:00,57
2025.11.12 13:11:00,13:11:00,105
2025.11.12 13:12:00,13:12:00,99
2025.11.12 13:13:00,13:13:00,97
2025.11.12 13:14:00,13:14:00,51
2025.11.12 13:15:00,13:15:00,26
2025.11.12 13:16:00,13:16:00,23
2025.11.12 13:17:00,13:17:00,23
2025.11.12 13:20:00,13:20:00,10
2025.11.12 13:30:00,13:30:00,19
2025.11.12 14:00:00,14:00:00,20
2025.11.12 14:20:00,14:20:00,41
2025.11.12 14:21:00,14:21:00,13
2025.11.12 14:22:00,14:22:00,16
2025.11.12 14:24:00,14:24:00,15
2025.11.12 14:25:00,14:25:00,7
2025.11.12 14:43:00,14:43:00,11
2025.11.12 14:50:00,14:50:00,44
2025.11.12 14:51:00,14:51:00,92
2025.11.12 14:52:00,14:52:00,94
2025.11.12 14:53:00,14:53:00,88
2025.11.12 14:54:00,14:54:00,77
2025.11.12 14:55:00,14:55:00,92
2025.11.12 14:56:00,14:56:00,95
2025.11.12 14:57:00,14:57:00,95
2025.11.12 14:58:00,14:58:00,49
2025.11.12 14:59:00,14:59:00,16
2025.11.12 15:10:00,15:10:00,101
2025.11.12 15:11:00,15:11:00,90
2025.11.12 15:12:00,15:12:00,45
2025.11.12 15:13:00,15:13:00,62
2025.11.12 15:16:00,15:16:00,73
2025.11.12 15:17:00,15:17:00,74
2025.11.12 15:25:00,15:25:00,47
2025.11.12 15:26:00,15:26:00,100
2025.11.12 15:27:00,15:27:00,106
2025.11.12 15:28:00,15:28:00,96
2025.11.12 15:29:00,15:29:00,88
2025.11.12 15:30:00,15:30:00,82
2025.11.12 15:31:00,15:31:00,53
2025.11.12 15:32:00,15:32:00,18
2025.11.12 15:33:00,15:33:00,24
2025.11.12 15:47:00,15:47:00,15
2025.11.12 15:50:00,15:50:00,11
2025.11.12 16:23:00,16:23:00,9
2025.11.12 16:24:00,16:24:00,74
2025.11.12 16:25:00,16:25:00,61
2025.11.12 16:26:00,16:26:00,18
2025.11.12 16:49:00,16:49:00,19
2025.11.12 17:03:00,17:03:00,9
2025.11.12 17:06:00,17:06:00,15
2025.11.12 17:22:00,17:22:00,14
2025.11.12 17:24:00,17:24:00,80
2025.11.12 17:25:00,17:25:00,84
2025.11.12 17:26:00,17:26:00,93
2025.11.12 17:27:00,17:27:00,97
2025.11.12 17:28:00,17:28:00,98
2025.11.12 17:29:00,17:29:00,96
2025.11.12 17:30:00,17:30:00,40
2025.11.12 17:31:00,17:31:00,14
2025.11.12 18:42:00,18:42:00,13
2025.11.12 18:43:00,18:43:00,91
2025.11.12 18:44:00,18:44:00,39
2025.11.12 18:45:00,18:45:00,61
2025.11.12 18:46:00,18:46:00,65
2025.11.12 18:47:00,18:47:00,38
2025.11.12 18:48:00,18:48:00,74
2025.11.12 18:49:00,18:49:00,80
2025.11.12 18:50:00,18:50:00,91
2025.11.12 18:51:00,18:51:00,58
2025.11.12 19:02:00,19:02:00,46
2025.11.12 19:03:00,19:03:00,62
2025.11.12 19:05:00,19:05:00,29
2025.11.12 19:06:00,19:06:00,43
2025.11.12 19:07:00,19:07:00,32
2025.11.12 19:08:00,19:08:00,41
2025.11.12 19:09:00,19:09:00,29
2025.11.12 19:10:00,19:10:00,37
2025.11.12 19:11:00,19:11:00,30
2025.11.12 19:12:00,19:12:00,43
2025.11.12 19:13:00,19:13:00,63
2025.11.12 19:14:00,19:14:00,2
2025.11.12 19:15:00,19:15:00,22
2025.11.12 19:16:00,19:16:00,33
2025.11.12 19:33:00,19:33:00,24
2025.11.12 19:37:00,19:37:00,10
2025.11.12 19:38:00,19:38:00,38
2025.11.12 19:39:00,19:39:00,28
2025.11.12 19:40:00,19:40:00,15
2025.11.12 19:41:00,19:41:00,73
2025.11.12 19:42:00,19:42:00,20
2025.11.12 19:43:00,19:43:00,18
2025.11.12 19:44:00,19:44:00,10
2025.11.12 19:45:00,19:45:00,6
2025.11.12 19:49:00,19:49:00,7
2025.11.12 19:53:00,19:53:00,6
2025.11.12 20:08:00,20:08:00,53
